[s],CH2[V],CH3[V]
3.4602E-03,5.41016E-01,-6.42969E-03
3.4702E-03,4.53516E-01,-7.67969E-03
3.4803E-03,4.01172E-01,-8.72656E-03
3.4904E-03,3.48828E-01,-8.47656E-03
3.5005E-03,2.26172E-01,-6.55469E-03
3.5106E-03,7.07031E-02,-3.71094E-03
3.5206E-03,1.21094E-02,-2.50781E-03
3.5307E-03,9.76562E-03,-1.58594E-03
3.5408E-03,1.99609E-01,8.91406E-03
3.5509E-03,3.60547E-01,1.75078E-02
3.5610E-03,4.41797E-01,2.52891E-02
3.5710E-03,5.38672E-01,3.15859E-02
3.5811E-03,6.06641E-01,3.78359E-02
3.5912E-03,6.71484E-01,4.36641E-02
3.6013E-03,7.69922E-01,5.12109E-02
3.6114E-03,8.58984E-01,5.93516E-02
3.6214E-03,9.68359E-01,6.68672E-02
3.6315E-03,1.05664E+00,7.54297E-02
3.6416E-03,1.15430E+00,8.42266E-02
3.6517E-03,1.24883E+00,9.35078E-02
3.6618E-03,1.35977E+00,1.03102E-01
3.6718E-03,1.46211E+00,1.12633E-01
3.6819E-03,1.59023E+00,1.22836E-01
3.6920E-03,1.71523E+00,1.33258E-01
3.7021E-03,1.83164E+00,1.43508E-01
3.7122E-03,1.96055E+00,1.54805E-01
3.7222E-03,2.08867E+00,1.64930E-01
3.7323E-03,2.20898E+00,1.74945E-01
3.7424E-03,2.34023E+00,1.86836E-01
3.7525E-03,2.46523E+00,1.97164E-01
3.7626E-03,2.60820E+00,2.07539E-01
3.7726E-03,2.74336E+00,2.17727E-01
3.7827E-03,2.87461E+00,2.27117E-01
3.7928E-03,3.00820E+00,2.37852E-01
3.8029E-03,3.13945E+00,2.48383E-01
3.8130E-03,3.26914E+00,2.57383E-01
3.8230E-03,3.37383E+00,2.65742E-01
3.8331E-03,3.49023E+00,2.73523E-01
3.8432E-03,3.59570E+00,2.81555E-01
3.8533E-03,3.70430E+00,2.88711E-01
3.8634E-03,3.82695E+00,2.95398E-01
3.8734E-03,3.93242E+00,3.01742E-01
3.8835E-03,4.02695E+00,3.06055E-01
3.8936E-03,4.10430E+00,3.10008E-01
3.9037E-03,4.18711E+00,3.15008E-01
3.9138E-03,4.26523E+00,3.17523E-01
3.9238E-03,4.34414E+00,3.20070E-01
3.9339E-03,4.42695E+00,3.22914E-01
3.9440E-03,4.48789E+00,3.24539E-01
3.9541E-03,4.53945E+00,3.25055E-01
3.9642E-03,4.57773E+00,3.24258E-01
3.9742E-03,4.59805E+00,3.21711E-01
3.9843E-03,4.62461E+00,3.19664E-01
3.9944E-03,4.65820E+00,3.17914E-01
4.0045E-03,4.67852E+00,3.15164E-01
4.0146E-03,4.67539E+00,3.10898E-01
4.0246E-03,4.66680E+00,3.05523E-01
4.0347E-03,4.65039E+00,3.00570E-01
4.0448E-03,4.61445E+00,2.94664E-01
4.0549E-03,4.58242E+00,2.88977E-01
4.0650E-03,4.55586E+00,2.82758E-01
4.0750E-03,4.52148E+00,2.75336E-01
4.0851E-03,4.45508E+00,2.66508E-01
4.0952E-03,4.39414E+00,2.58633E-01
4.1053E-03,4.33008E+00,2.50336E-01
4.1154E-03,4.24883E+00,2.40477E-01
4.1254E-03,4.14648E+00,2.31086E-01
4.1355E-03,4.07773E+00,2.21992E-01
4.1456E-03,3.99102E+00,2.13352E-01
4.1557E-03,3.89805E+00,2.03055E-01
4.1658E-03,3.79258E+00,1.94539E-01
4.1758E-03,3.66211E+00,1.84055E-01
4.1859E-03,3.55273E+00,1.74539E-01
4.1960E-03,3.45664E+00,1.64680E-01
4.2061E-03,3.33164E+00,1.53961E-01
4.2162E-03,3.21836E+00,1.45195E-01
4.2262E-03,3.08477E+00,1.35836E-01
4.2363E-03,2.95117E+00,1.26680E-01
4.2464E-03,2.81914E+00,1.17883E-01
4.2565E-03,2.69102E+00,1.10461E-01
4.2666E-03,2.54414E+00,1.03180E-01
4.2766E-03,2.40898E+00,9.48672E-02
4.2867E-03,2.29336E+00,8.80547E-02
4.2968E-03,2.16055E+00,8.15078E-02
4.3069E-03,2.02930E+00,7.35234E-02
4.3170E-03,1.89492E+00,6.65078E-02
4.3270E-03,1.78711E+00,6.19922E-02
4.3371E-03,1.65664E+00,5.58047E-02
4.3472E-03,1.52930E+00,5.09141E-02
4.3573E-03,1.41211E+00,4.59609E-02
4.3674E-03,1.30977E+00,4.14766E-02
4.3774E-03,1.20195E+00,3.68672E-02
4.3875E-03,1.11133E+00,3.32891E-02
4.3976E-03,1.02617E+00,3.02891E-02
4.4077E-03,9.31641E-01,2.80859E-02
4.4178E-03,8.24609E-01,2.50234E-02
4.4278E-03,7.31641E-01,2.31641E-02
4.4379E-03,6.49609E-01,2.14609E-02
4.4480E-03,5.97266E-01,2.13047E-02
4.4581E-03,5.36328E-01,1.93203E-02
4.4682E-03,4.80078E-01,1.92891E-02
4.4782E-03,4.23828E-01,1.74297E-02
4.4883E-03,3.89453E-01,1.60234E-02
4.4984E-03,3.08984E-01,1.22734E-02
4.5085E-03,1.19141E-01,2.82031E-03
4.5186E-03,2.38281E-02,-8.82812E-04
4.5286E-03,1.95312E-03,-2.50781E-03
4.5387E-03,1.77734E-01,6.85156E-03
4.5488E-03,3.87109E-01,1.76172E-02
4.5589E-03,4.77734E-01,2.47734E-02
4.5690E-03,5.73047E-01,3.11797E-02
4.5790E-03,6.31641E-01,3.77578E-02
4.5891E-03,7.04297E-01,4.34141E-02
4.5992E-03,7.94922E-01,5.04766E-02
4.6093E-03,8.77734E-01,5.76641E-02
4.6194E-03,9.74609E-01,6.48359E-02
4.6294E-03,1.04727E+00,7.20703E-02
4.6395E-03,1.14570E+00,8.12734E-02
4.6496E-03,1.23711E+00,8.91484E-02
4.6597E-03,1.33164E+00,9.68828E-02
4.6698E-03,1.42852E+00,1.06055E-01
4.6798E-03,1.54102E+00,1.15539E-01
4.6899E-03,1.66680E+00,1.25508E-01
4.7000E-03,1.78711E+00,1.35383E-01
4.7101E-03,1.90664E+00,1.45445E-01
4.7202E-03,2.02383E+00,1.55289E-01
4.7302E-03,2.14648E+00,1.65289E-01
4.7403E-03,2.26602E+00,1.74742E-01
4.7504E-03,2.38867E+00,1.84789E-01
4.7605E-03,2.50820E+00,1.94305E-01
4.7706E-03,2.63945E+00,2.03023E-01
4.7806E-03,2.75977E+00,2.12195E-01
4.7907E-03,2.89570E+00,2.21914E-01
4.8008E-03,3.02461E+00,2.31367E-01
4.8109E-03,3.14180E+00,2.39883E-01
4.8210E-03,3.25820E+00,2.47867E-01
4.8310E-03,3.36133E+00,2.55211E-01
4.8411E-03,3.46445E+00,2.62305E-01
4.8512E-03,3.56133E+00,2.68852E-01
4.8613E-03,3.65977E+00,2.74133E-01
4.8714E-03,3.75117E+00,2.79867E-01
4.8814E-03,3.85117E+00,2.84961E-01
4.8915E-03,3.94258E+00,2.89586E-01
4.9016E-03,4.02930E+00,2.93664E-01
4.9117E-03,4.10742E+00,2.96805E-01
4.9218E-03,4.15586E+00,2.99805E-01
4.9318E-03,4.22539E+00,3.01492E-01
4.9419E-03,4.28320E+00,3.02352E-01
4.9520E-03,4.33633E+00,3.02273E-01
4.9621E-03,4.38242E+00,3.02305E-01
4.9722E-03,4.42305E+00,3.01773E-01
4.9822E-03,4.44258E+00,2.99648E-01
4.9923E-03,4.45273E+00,2.95633E-01
5.0024E-03,4.46289E+00,2.92164E-01
5.0125E-03,4.45508E+00,2.87930E-01
5.0226E-03,4.44336E+00,2.84055E-01
5.0326E-03,4.45117E+00,2.80273E-01
5.0427E-03,4.43320E+00,2.74695E-01
5.0528E-03,4.39414E+00,2.68008E-01
5.0629E-03,4.34961E+00,2.60648E-01
5.0730E-03,4.30508E+00,2.53805E-01
5.0830E-03,4.23711E+00,2.44680E-01
5.0931E-03,4.16992E+00,2.36430E-01
5.1032E-03,4.11445E+00,2.28461E-01
5.1133E-03,4.06133E+00,2.20227E-01
5.1234E-03,3.98242E+00,2.11586E-01
5.1334E-03,3.90430E+00,2.02695E-01
5.1435E-03,3.80352E+00,1.92852E-01
5.1536E-03,3.71289E+00,1.83242E-01
5.1637E-03,3.60586E+00,1.72758E-01
5.1738E-03,3.50508E+00,1.62664E-01
5.1838E-03,3.40195E+00,1.52695E-01
5.1939E-03,3.29648E+00,1.44430E-01
5.2040E-03,3.18789E+00,1.35023E-01
5.2141E-03,3.07070E+00,1.24539E-01
5.2242E-03,2.94023E+00,1.14898E-01
5.2342E-03,2.81289E+00,1.05680E-01
5.2443E-03,2.69180E+00,9.75703E-02
5.2544E-03,2.54805E+00,8.95547E-02
5.2645E-03,2.42461E+00,8.23984E-02
5.2746E-03,2.30195E+00,7.45391E-02
5.2846E-03,2.17852E+00,6.61797E-02
5.2947E-03,2.05586E+00,5.85078E-02
5.3048E-03,1.91602E+00,5.23047E-02
5.3149E-03,1.80586E+00,4.56328E-02
5.3250E-03,1.70508E+00,3.98984E-02
5.3350E-03,1.56289E+00,3.23672E-02
5.3451E-03,1.44414E+00,2.71484E-02
5.3552E-03,1.33789E+00,2.31641E-02
5.3653E-03,1.24727E+00,1.97734E-02
5.3754E-03,1.15352E+00,1.58047E-02
5.3854E-03,1.05273E+00,1.22734E-02
5.3955E-03,9.66016E-01,9.83594E-03
5.4056E-03,8.49609E-01,7.94531E-03
5.4157E-03,7.55859E-01,4.52344E-03
5.4258E-03,6.61328E-01,1.96094E-03
5.4358E-03,5.93359E-01,1.17188E-04
5.4459E-03,5.12109E-01,-1.41406E-03
5.4560E-03,4.47266E-01,-3.60156E-03
5.4661E-03,3.87109E-01,-5.16406E-03
5.4762E-03,3.22266E-01,-5.53906E-03
5.4862E-03,2.41797E-01,-6.30469E-03
5.4963E-03,1.91016E-01,-6.21094E-03
5.5064E-03,6.99219E-02,-5.52344E-03
